time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/MSE_losses,train/MSE_loss,train/RL_loss,train/critic_loss,train/Beta,train/loss,train/actor_loss,train/Main_losses,train/critic_los,train/n_updates,train/learning_rate
392,1172,494.01,494.01,184588,157,0.27526901429891587,0.3735741376876831,-96.24380493164062,0.4510114002376795,0.22,-95.42194366455078,-95.33537982177734,-94.72978802490235,0.17392808198928833,183996,0.001
396,1185,494.01,494.01,186588,157,0.3540714207291603,0.38191330432891846,-96.43167877197266,0.9429624088704586,0.212,-95.62202453613281,-97.09722930908202,-96.34659805297852,0.4605081379413605,185996,0.001
400,1197,494.01,494.01,188588,157,0.2638397433757782,0.21951797604560852,-97.2264633178711,0.4724667473882437,0.204,-96.77864837646484,-96.78982235717774,-96.25158932495117,0.33565402030944824,187996,0.001
404,1210,494.01,494.01,190588,157,0.27141619789600374,0.24334101378917694,-97.13108825683594,0.5614887464493513,0.196,-96.65413665771484,-96.77339364624024,-96.24141802978515,0.34122127294540405,189996,0.001
408,1223,494.01,494.01,192588,157,0.2819770417809486,0.31935983896255493,-97.3636245727539,0.4073542431741953,0.188,-96.76322937011719,-96.89940432739257,-96.36928747558593,0.1194862499833107,191996,0.001
412,1236,494.01,494.01,194588,157,0.2921324890255928,0.3111252784729004,-95.9694595336914,0.6065895456373691,0.18,-95.40943145751953,-97.07136590576172,-96.54552734375,0.12694354355335236,193996,0.001
416,1249,494.01,494.01,196588,157,0.3762227833271027,0.27161017060279846,-98.61000061035156,0.4995412281751633,0.172,-98.14282989501953,-97.8750357055664,-97.22793249511719,0.26588010787963867,195996,0.001
420,1261,494.01,494.01,198588,157,0.30396212661266325,0.3129754960536957,-96.87921905517578,0.4385275716036558,0.164,-96.36593627929688,-98.16462997436524,-97.66613208007813,0.24813392758369446,197996,0.001
424,1274,494.01,494.01,200588,157,0.317317745745182,0.23271571099758148,-96.90095520019531,1.2289001980870962,0.156,-96.53791809082031,-98.4410319519043,-97.9460164489746,0.20721450448036194,199996,0.001
428,1287,494.01,494.01,202588,157,0.3179862416386604,0.34503698348999023,-99.18482971191406,0.5840762147307396,0.148,-98.6741714477539,-99.09357931518555,-98.62295965576172,0.14574241638183594,201996,0.001
432,1297,491.61,491.61,204169,157,0.35194196450710297,0.31587985157966614,-98.94752502441406,0.37038098976016043,0.14,-98.50529479980469,-99.62017379760742,-99.12745513916016,0.1805875599384308,203577,0.001
436,1310,491.61,491.61,206169,157,0.3268152314424515,0.33901458978652954,-100.72025299072266,0.4938255894631147,0.132,-100.27275085449219,-100.13777523803711,-99.70637915039063,0.07600787281990051,205577,0.001
440,1322,491.61,491.61,208169,157,0.30697541898489,0.34392470121383667,-101.63665771484375,0.5669714089930058,0.124,-101.21018981933594,-100.37577899169922,-99.99512954711913,0.26983773708343506,207577,0.001
444,1335,491.61,491.61,210169,157,0.31069611871242525,0.2796955704689026,-99.27620697021484,0.4453138842433691,0.116,-98.9517593383789,-100.86752850341797,-100.50712094116211,0.8554137945175171,209577,0.001
448,1348,491.61,491.61,212169,157,0.2780318745970726,0.3344767689704895,-100.2843017578125,0.39395859494805335,0.108,-99.92306518554688,-100.87415353393554,-100.57387915039062,0.16606977581977844,211577,0.001
452,1361,491.61,491.61,214169,157,0.28404358291625975,0.2773241102695465,-100.29283142089844,0.4268185003399849,0.1,-100.01551055908203,-100.72443127441406,-100.44038751220702,0.1663733422756195,213577,0.001
456,1373,495.81,495.81,216169,157,0.4082297538518906,0.4126173257827759,-101.382568359375,0.8771158495396376,0.092,-101.00296020507812,-101.17779544067383,-100.80222406005859,0.1253741979598999,215577,0.001
460,1386,495.81,495.81,218169,157,0.2899132658839226,0.29465654492378235,-102.0906982421875,0.32464954191446305,0.084,-101.84318542480469,-101.16849530029297,-100.92496823120118,0.1259428858757019,217577,0.001
464,1399,495.81,495.81,220169,157,0.2770177043676376,0.2815811336040497,-100.20620727539062,0.4678601324185729,0.076,-99.99220275878906,-100.91825036621094,-100.70771697998048,0.13086548447608948,219577,0.001
468,1412,495.81,495.81,222169,157,0.323077152967453,0.31354448199272156,-100.87212371826172,0.35112847345322373,0.068,-100.6589126586914,-100.66287615966797,-100.44318377685546,0.09664894640445709,221577,0.001
472,1424,495.81,495.81,224169,157,0.463080668926239,0.42128920555114746,-101.92715454101562,0.4788379998356104,0.06,-101.67437744140625,-100.91901370239258,-100.64116525268555,0.21342803537845612,223577,0.001
476,1437,495.81,495.81,226169,157,0.34771936571598056,0.34707388281822205,-98.4554214477539,0.3356278271973133,0.052,-98.27494049072266,-100.56967483520508,-100.38886074829101,0.22121989727020264,225577,0.001
480,1450,495.81,495.81,228169,157,0.3756601437330246,0.3712043762207031,-100.86441802978516,0.28557142528891566,0.044,-100.70108795166016,-100.3539114074707,-100.18862109375,0.26065269112586975,227577,0.001
484,1461,492.38,492.38,229826,157,0.3190499297048472,0.3140348196029663,-99.41802215576172,0.429748522722797,0.036,-99.30496978759766,-99.86827435070956,-99.75341613383233,0.23608162999153137,229234,0.001
488,1473,492.38,492.38,231826,157,0.38197625416517256,0.3396936357021332,-97.98644256591797,0.7469427558705211,0.028,-97.89132690429688,-99.57068740844727,-99.46373406982421,0.3777284622192383,231234,0.001
492,1486,492.38,492.38,233826,157,0.384590532541275,0.3855552673339844,-99.67886352539062,0.6318245527744293,0.02,-99.60175323486328,-99.58920648193359,-99.51228826904297,0.26823070645332336,233234,0.001
496,1499,492.38,492.38,235826,157,0.44184503746032716,0.30070653557777405,-99.29167938232422,0.7663708758801222,0.012,-99.2555923461914,-99.52089755249024,-99.46787619018555,0.23393386602401733,235234,0.001
500,1512,492.38,492.38,237826,157,0.4346652761697769,0.4163205623626709,-96.28334045410156,0.3035835049524903,0.004,-96.26668548583984,-99.37702456665039,-99.35963784790039,0.16642813384532928,237234,0.001
504,1524,492.38,492.38,239826,157,0.4741635406017303,0.5935326218605042,-101.17385864257812,0.6120198429822922,0,-101.17385864257812,-99.43491116333009,-99.43491116333009,0.23813468217849731,239234,0.001
508,1536,492.38,492.38,241826,157,0.5606955109834671,0.4396864175796509,-98.93650817871094,0.5292383392602206,0,-98.93650817871094,-99.12509201049805,-99.12509201049805,0.1329713612794876,241234,0.001
512,1549,492.38,492.38,243826,157,0.7046556040048599,0.7872124910354614,-98.55709075927734,0.5680882516503334,0,-98.55709075927734,-99.12716091918945,-99.12716091918945,0.23162373900413513,243234,0.001
516,1558,487.75,487.75,245363,157,0.4088721281886101,0.4600330889225006,-99.66574096679688,0.8966231805160642,0,-99.66574096679688,-98.59703094482421,-98.59703094482421,0.17812705039978027,244771,0.001
