time/episodes,train/std,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/RL_loss,train/critic_loss,train/MSE_loss,train/Main_losses,train/critic_los,train/actor_loss,train/ent_coef,train/loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/learning_rate
328,0.04282665252685547,92,294246,268.31535756000005,3175,943.02,284224,-5.0101470947265625,0.1843444723635912,6.154834747314453,-5.709237702190876,0.21541661024093628,-5.709237702190876,0.005808583846373949,-5.0101470947265625,6.731603994965553,-0.9579003194812685,-0.0,0.00073
332,0.042727839201688766,92,297648,273.5988128000001,3212,938.18,287616,-5.515528202056885,0.18436352207208984,6.825291633605957,-5.748678490519524,0.08924888074398041,-5.748678490519524,0.004836737585719675,-5.515528202056885,6.610839456319809,0.6867842562496662,-0.0,0.00073
336,0.042861755937337875,92,300596,271.84624574000003,3244,918.15,290560,-5.8785014152526855,0.2563762320787646,6.517420291900635,-5.913711778819561,0.3025330901145935,-5.913711778819561,0.00582927495270269,-5.8785014152526855,6.605685107409954,-1.8297875507269055,-0.0,0.00073
340,0.0428171344101429,92,304047,272.32579983,3282,906.76,294016,-6.566903114318848,0.14808700006688014,6.800807952880859,-6.024255871772766,0.13781240582466125,-6.024255871772766,0.005550596069952007,-6.566903114318848,6.771999590098858,-0.6483024444896728,-0.0,0.00073
344,0.04259509965777397,92,307411,273.84471104,3320,896.93,297408,-7.255674839019775,0.15128277923213318,5.543825626373291,-6.481035560369492,0.08095227181911469,-6.481035560369492,0.005400038848165423,-7.255674839019775,5.983284384012222,0.1783958578016609,-0.0,0.00073
348,0.04225455969572067,92,310818,274.24499333,3357,886.46,300800,-6.936593055725098,0.16283452408970334,6.227029800415039,-6.652362748980522,0.053445473313331604,-6.652362748980522,0.005141083893249743,-6.936593055725098,6.028500333428383,0.33513152366504073,-0.0,0.00073
352,0.04243137314915657,92,313588,273.76364881999996,3387,880.34,303552,-6.413320541381836,0.18413995404262096,5.308863639831543,-6.885323189198971,0.14016911387443542,-6.885323189198971,0.005736225975851994,-6.413320541381836,5.675090081989765,-0.38920295564457774,-0.0,0.00073
356,0.04271284118294716,92,316642,271.49980548,3421,869.27,306624,-6.705601692199707,0.23288842500187457,5.555133819580078,-6.834510579705238,0.2003932148218155,-6.834510579705238,0.006009854732837994,-6.705601692199707,5.73458006978035,-1.4209867201279849,-0.0,0.00073
360,0.04243581369519234,92,319888,273.87501763999995,3456,868.39,309888,-7.279224395751953,0.23456985742086545,5.730072021484375,-7.295999176800251,1.0951406955718994,-7.295999176800251,0.005108451725391205,-7.279224395751953,5.679390475153923,-0.3117741420865059,-0.0,0.00073
364,0.042652469128370285,92,323173,274.23907864,3492,860.3,313152,-7.998569965362549,0.33573901903582737,4.781370639801025,-7.458298891782761,0.12610101699829102,-7.458298891782761,0.005846112035214901,-7.998569965362549,5.642547525465488,-0.14128020638599992,-0.0,0.00073
